latitude,longitude,time,surfaceheight,windspeed,winddirection,significantwaveheight,primarywaveperiod,primarywavedirection,swellheight,depth,currentspeed,currentdirection,temperature,salinity,pressure_dbars,sound_speed_ms
30.07574,-88.79614,2025-01-16 00:00:00,0.93,12.69,-130,,,,,0.0,0.15,271,16.67,32.99,0.0,1509.5158919627052
30.048661,-88.581252,2025-01-16 00:00:00,0.96,11.8,-127,,,,,0.0,0.17,272,17.37,33.51,0.0,1512.2196156996768
30.261,-89.08007,2025-01-16 00:00:00,0.14,7.28,-137,,,,,0.0,0.15,228,8.9,20.12,0.0,1467.5982973636362
30.048661,-88.581252,2025-01-16 00:00:00,0.96,11.8,-127,,,,,2.0,0.16,276,17.37,33.51,0.20145872547346916,1512.2229616749757
30.261,-89.08007,2025-01-16 00:00:00,0.14,7.28,-137,,,,,2.0,0.09,239,8.93,20.61,0.2014621554748501,1468.3153452854185
30.07574,-88.79614,2025-01-16 00:00:00,0.93,12.69,-130,,,,,2.0,0.14,275,16.92,33.47,0.20145916207746495,1510.8270971175389
30.07574,-88.79614,2025-01-16 00:00:00,0.93,12.69,-130,,,,,4.0,0.12,281,17.33,33.76,0.4029201311609579,1512.3923652518115
30.261,-89.08007,2025-01-16 00:00:00,0.14,7.28,-137,,,,,4.0,0.05,5,8.93,20.99,0.40292611803610634,1468.7825627225593
30.048661,-88.581252,2025-01-16 00:00:00,0.96,11.8,-127,,,,,4.0,0.14,283,17.37,33.51,0.40291925794040717,1512.2263076804022
30.07574,-88.79614,2025-01-16 00:00:00,0.93,12.69,-130,,,,,6.0,0.11,286,17.48,34.03,0.6043829072956914,1513.1502435767625
30.048661,-88.581252,2025-01-16 00:00:00,0.96,11.8,-127,,,,,6.0,0.13,290,17.37,33.51,0.6043815974485386,1512.2296537159568
30.048661,-88.581252,2025-01-16 00:00:00,0.96,11.8,-127,,,,,8.0,0.11,299,17.38,33.51,0.805845744045588,1512.2628200865831
30.07574,-88.79614,2025-01-16 00:00:00,0.93,12.69,-130,,,,,8.0,0.09,292,17.48,34.23,0.8058474905344138,1513.3817299926818
30.07574,-88.79614,2025-01-16 00:00:00,0.93,12.69,-130,,,,,10.0,0.06,298,17.4,34.32,1.0073138809223379,1513.2502026501422
